Customer ID,Credit Score,Loan Amount,Interest Rate,Loan Duration (Years),Risk Category,Arrears Status,Foreclosure Probability,Portfolio Value Impact
1001,639,27006,13.979773276598134,20,Medium,Severe Arrears,0.6378486224046385,1.7456922077459307
1002,832,27730,9.939244669559656,15,Medium,Severe Arrears,0.536739661132334,2.196220266336109
1003,514,23886,9.157485198766077,15,Low,No Arrears,0.5532468844782502,5.085375401554032
1004,814,26284,7.847238406108095,10,Medium,Severe Arrears,0.7326446810717517,8.244168734129818
1005,528,13110,6.3154632823388575,15,Low,Minor Arrears,0.3248321925994763,7.253495328190599
1006,794,42264,8.193875702581991,10,Low,Severe Arrears,0.855383296619592,7.82354126924843
1007,768,8022,11.76374039499118,20,Medium,Severe Arrears,0.7381320172691672,-5.393978221790999
1008,810,15614,5.27071922714538,20,Medium,Minor Arrears,0.3395516620950376,-4.664149803970366
1009,617,32102,10.617636243433601,10,Low,Minor Arrears,0.019564685787724044,1.4974269353132073
1010,798,12422,3.5494144215236623,10,High,Severe Arrears,0.04478127984535172,-7.8848058150034035
1011,689,19384,7.031277187475105,5,High,No Arrears,0.4766812595839134,1.2259376775724427
1012,559,39394,11.963452169120657,10,High,No Arrears,0.37529682179257684,8.069541800489716
1013,509,7187,13.781594675488993,20,High,No Arrears,0.630731819847683,-5.59540520207724
1014,690,47018,11.684543235317966,15,Low,No Arrears,0.7124456056085061,8.61675328713692
1015,753,27857,14.036942013504774,15,Medium,Minor Arrears,0.023459730063959593,-5.932875232687859
1016,823,40202,10.539773571469794,10,Medium,No Arrears,0.5440206146835787,-8.18490190736042
1017,605,42637,4.4840108330800135,20,High,No Arrears,0.8283239517058941,-9.080235425039945
1018,703,23435,14.260023546371352,10,High,Severe Arrears,0.26683937201329405,9.362522141477694
1019,652,26060,14.118262215993381,5,Medium,Minor Arrears,0.48013884148381436,-2.117957838904805
1020,779,37814,7.206780661408734,10,Low,Severe Arrears,0.57848446574944,-6.424808215660612
1021,694,25116,4.180467860954671,20,High,No Arrears,0.7995561985594511,9.744423298855935
1022,743,16191,5.58678360288289,5,Low,Minor Arrears,0.5761377420880865,-8.013432023394547
1023,824,47528,12.215217839235873,5,High,No Arrears,0.8928560223777952,0.8355436883006444
1024,652,16315,11.556453617300779,5,Medium,No Arrears,0.09187669751087126,-6.565624096473459
1025,831,41299,8.091015192443507,15,High,No Arrears,0.4851089247166866,-8.769767911683337
1026,633,37674,4.404751809846987,20,Medium,No Arrears,0.36600228630459597,8.334641839054118
1027,640,43092,14.914929630268597,5,Medium,Minor Arrears,0.18219890759298413,-0.28480416564193867
1028,762,41231,11.490815559761481,20,Low,Minor Arrears,0.794764477342188,6.251449373414868
1029,552,35792,13.186844238534858,15,Medium,Minor Arrears,0.20803943965818417,7.024295597371793
1030,749,10922,6.997360252382091,10,High,No Arrears,0.08020696695965042,1.8832825565972335
1031,685,35572,3.7229811442051504,10,Medium,Minor Arrears,0.2670885690646414,0.30362643842037507
1032,558,7426,4.0227636046069835,5,Low,No Arrears,0.4478675551378111,1.4671287749821431
1033,557,34951,14.681489151090348,5,High,Severe Arrears,0.8377605047234852,-3.573083506579011
1034,535,26187,10.893294192877669,5,Low,No Arrears,0.3048602649553958,9.567294308846435
1035,770,16384,12.950483105586557,15,High,No Arrears,0.8657871613842105,-8.392336693856844
1036,534,48518,11.509640807557012,15,High,Minor Arrears,0.5541014141657311,-2.70531761955106
1037,592,10364,9.623400757092913,10,High,Minor Arrears,0.29599851271257616,-0.7203556690195789
1038,781,5218,9.493581477697845,15,Medium,Severe Arrears,0.025448786690204596,-4.370569666826287
1039,766,38652,10.474848482968518,10,Low,Severe Arrears,0.6822239501743746,5.772793366332072
1040,515,38784,13.27707572307558,10,High,Severe Arrears,0.3680058166175797,1.516420889078077
1041,516,40078,5.018634812748382,20,High,Minor Arrears,0.5004802927899725,-1.1800788264400524
1042,825,19308,6.006022616499671,10,High,Minor Arrears,0.4053560160312996,5.610245686531176
1043,689,31298,7.33809937812309,15,High,No Arrears,0.6927114883887431,9.065991794312232
1044,704,11868,3.604061594722971,15,Low,Severe Arrears,0.4389373541227398,2.5899467161574474
1045,518,40886,11.634788650732018,10,Medium,Severe Arrears,0.28591521197524483,-7.2334350898902215
1046,766,22278,6.963464783150648,15,High,No Arrears,0.6985348383257479,2.028219124562554
1047,812,29644,11.8152833234169,15,Low,Severe Arrears,0.422147365040504,3.664492995423622
1048,582,7060,4.893359469437307,10,Low,No Arrears,0.38143591693231915,-2.7817235654699264
1049,732,22250,12.16282753618912,5,Low,Minor Arrears,0.41641325187299094,-8.844954199480481
1050,513,38134,4.190694327547838,5,Low,Minor Arrears,0.4159732651057369,8.216053327949503
