Employee_ID,Department,Satisfaction_Score,Engagement_Level,Flight_Risk,Absenteeism_Rate,eNPS_Score,Manager_Effectiveness,Career_Growth,Wellbeing_Index,Psychological_Safety
1,Marketing,1.9160422535836337,9.929422133409814,Medium,8.26739942874558,-98,3.2927383660304694,4.999968619043488,8.42353443456166,8.171633590949108
2,Finance,2.375732252658988,8.662824619705862,Low,6.572679198725168,15,4.166963509123058,2.274555204879555,8.709511026024334,2.148113362278558
3,Sales,3.213619555460573,2.8765946292160223,Low,12.58770592470448,74,7.350537743058637,1.9224669627029152,9.349070873495673,9.129710146498834
4,Finance,2.446132359336001,9.375356931795245,Medium,2.4101937706776777,89,5.693958855198704,5.819184546912587,9.548462849377291,7.05050946526672
5,Finance,2.679103216461752,2.0472975809692846,Medium,0.37457493175574397,-2,2.12182686093532,1.7662927290047392,5.993432168529756,9.077757601391781
6,Engineering,3.565856518244624,8.357047376420724,Low,6.735581518951888,15,9.652730863812751,3.7265065110107556,4.069181550304305,5.024444540775972
7,Sales,2.560362357652793,4.4256096412892205,Medium,3.5621783512838623,-87,6.723196891387645,7.701372783667684,9.656783869131987,4.93259374975328
8,Sales,9.070888821637826,8.901768884005627,Low,0.7442156000825617,90,7.892815830962784,9.679889616111828,5.926657654011027,8.060828668164056
9,Sales,1.7221037109547799,8.812510210967053,Medium,10.868974302714435,11,1.7129183500753373,7.460835224967357,1.5782745065914994,1.8396806992906916
10,Finance,5.720602506132292,8.253328601058591,Low,1.673894999358712,-40,1.42352541514017,9.933629936075832,6.784988950538785,5.687866329713971
11,Marketing,4.693571442906954,8.110273926763552,Medium,9.124792500116575,58,1.1750324533127305,7.285041741514624,6.289162753555097,8.52745812068103
12,Sales,9.841407552177458,3.742112251882367,Low,4.215746252503338,-6,2.699146249961,3.6441502358889477,9.062135856052354,8.471733067626143
13,Customer Support,2.008350119512471,1.7282735474612696,Low,2.6024407553253304,-84,4.7296755794664564,7.048472864548257,6.878684702420312,9.605195707081322
14,Finance,4.580700391411675,4.626821608886453,Low,5.696272843789762,23,9.422435200625406,7.319410886772134,4.141471820153963,7.284453341774919
15,Engineering,9.72523389947832,2.561720634878578,Low,12.021686643344305,-77,5.113536933391987,4.345542861548145,9.696031531352384,2.869935664957555
16,Marketing,8.789564133045822,7.254559800122156,Low,5.88140365356859,15,3.612295948352765,1.1594246554845011,8.214575373838302,1.1825228340512273
17,Customer Support,8.353648638543518,4.11489753884007,Low,11.261544738165835,50,6.05741728167697,7.3287980629793825,6.673758565432189,5.314742187643917
